source,target
0,1
0,79
0,2
0,78
0,3
0,77
1,0
1,3
1,79
1,4
1,78
1,35
2,3
2,0
2,5
2,79
2,6
2,66
3,2
3,4
3,1
3,5
3,0
3,6
4,3
4,5
4,6
4,1
4,62
4,55
5,4
5,6
5,3
5,7
5,2
5,8
6,5
6,7
6,4
6,8
6,3
6,9
6,2
7,6
7,8
7,5
7,9
7,10
7,70
8,7
8,6
8,10
8,5
8,27
8,12
8,50
9,10
9,7
9,11
9,6
9,43
10,9
10,11
10,8
10,12
10,7
10,13
11,10
11,12
11,9
11,13
11,14
12,11
12,13
12,10
12,14
12,15
12,8
13,12
13,14
13,11
13,15
13,10
13,16
14,13
14,15
14,12
14,16
14,11
14,17
15,14
15,16
15,13
15,17
15,12
15,18
16,15
16,17
16,14
16,18
16,13
16,19
17,16
17,18
17,15
17,19
17,14
17,20
18,17
18,19
18,16
18,20
18,15
18,70
19,18
19,20
19,17
19,21
19,16
19,69
20,19
20,21
20,18
20,22
20,17
20,23
21,20
21,22
21,19
21,23
21,24
21,52
22,21
22,23
22,20
22,25
22,33
23,22
23,24
23,21
23,25
23,20
23,26
23,49
24,23
24,25
24,26
24,21
24,27
25,24
25,26
25,23
25,27
25,22
25,28
26,25
26,27
26,24
26,28
26,23
26,29
27,26
27,28
27,25
27,29
27,24
27,30
27,8
28,27
28,29
28,26
28,30
28,25
28,48
29,28
29,27
29,31
29,26
29,58
29,39
29,49
30,31
30,28
30,32
30,27
30,33
30,74
31,30
31,32
31,29
31,33
31,34
32,31
32,33
32,30
32,34
32,35
33,32
33,34
33,31
33,35
33,30
33,36
33,22
34,33
34,35
34,32
34,36
34,31
34,37
35,34
35,36
35,33
35,37
35,32
35,38
35,1
36,35
36,37
36,34
36,38
36,33
36,39
37,36
37,38
37,35
37,39
37,34
37,40
38,37
38,39
38,36
38,40
38,35
38,41
39,38
39,37
39,41
39,36
39,42
39,29
40,41
40,38
40,42
40,37
40,43
41,40
41,42
41,39
41,43
41,38
41,44
42,41
42,43
42,40
42,44
42,39
42,45
43,42
43,44
43,41
43,45
43,40
43,46
43,9
44,43
44,45
44,42
44,46
44,41
44,74
45,44
45,46
45,43
45,42
45,48
45,62
46,45
46,47
46,44
46,48
46,43
46,49
47,46
47,48
47,49
47,50
48,47
48,49
48,46
48,50
48,45
48,28
48,65
49,48
49,50
49,47
49,51
49,46
49,29
49,23
50,49
50,51
50,48
50,52
50,47
50,8
51,50
51,52
51,49
51,53
51,54
52,51
52,50
52,54
52,55
52,21
53,54
53,51
53,55
53,56
54,53
54,55
54,52
54,56
54,51
54,57
55,54
55,56
55,53
55,57
55,52
55,58
55,4
56,55
56,57
56,54
56,58
56,53
56,59
57,56
57,58
57,55
57,59
57,54
57,60
58,57
58,59
58,56
58,60
58,55
58,61
58,29
58,70
59,58
59,60
59,57
59,61
59,56
59,62
60,59
60,61
60,58
60,62
60,57
60,63
61,60
61,62
61,59
61,63
61,58
61,64
62,61
62,60
62,64
62,59
62,65
62,4
62,45
63,64
63,61
63,65
63,60
63,66
64,63
64,65
64,62
64,66
64,61
64,67
65,64
65,63
65,67
65,62
65,68
65,72
65,48
66,67
66,64
66,63
66,69
66,2
67,66
67,68
67,65
67,69
67,64
67,70
68,67
68,69
68,70
68,65
68,71
68,73
69,68
69,70
69,67
69,71
69,66
69,72
69,19
70,69
70,71
70,68
70,67
70,7
70,18
70,58
71,70
71,72
71,69
71,73
71,68
71,74
72,71
72,73
72,74
72,69
72,75
72,65
73,72
73,74
73,71
73,75
73,68
74,73
74,75
74,72
74,71
74,77
74,30
74,44
75,74
75,76
75,73
75,77
75,72
75,78
76,75
76,77
76,78
76,79
77,76
77,78
77,75
77,79
77,74
77,0
78,77
78,79
78,76
78,0
78,75
78,1
79,78
79,0
79,77
79,1
79,76
79,2
